hospital,hos_long,hos_lat,patient,pat_long,pat_lat,distance_km,rn
Kaohsiung Veterans General Hospital Pingtung Branch,120.599009,22.674418,Regan,120.5572052101263,22.5490904536583,10,5
Pingtung Christian Hospital,120.502626,22.682151,Regan,120.5572052101263,22.5490904536583,10,6
"Pingtung Hospital, Ministry of Health and Welfare",120.495546,22.673264,Regan,120.5572052101263,22.5490904536583,10,7
Paochien Hospital,120.484301,22.681631,Regan,120.5572052101263,22.5490904536583,11,8
Fangliao General Hospital,120.596376,22.36395,Regan,120.5572052101263,22.5490904536583,14,9
Daxin Hospital,120.599646,22.823792,Regan,120.5572052101263,22.5490904536583,20,10
Heng Chun Christian Hospital,120.741104,22.002365,Regan,120.5572052101263,22.5490904536583,40,11
"Hengchun Tourism Hospital, Ministry of Health and Welfare",120.744829,21.999154,Regan,120.5572052101263,22.5490904536583,40,12
Nan Men Hospital,120.7453691,22.00095622,Regan,120.5572052101263,22.5490904536583,40,13
Fangliao General Hospital,120.596376,22.36395,Tina,120.59124839474228,22.36790090695472,1,1
Fooyin University Hospital,120.452734,22.465199,Tina,120.59124839474228,22.36790090695472,12,2
Antai Medical Care Cooperation Chaozhou Antai Hospital,120.546964,22.554031,Tina,120.59124839474228,22.36790090695472,14,3
Kaohsiung Armed Forces General Hospital Pingtung Branch,120.487574,22.633503,Tina,120.59124839474228,22.36790090695472,20,4
Golden Hospital,120.514572,22.658334,Tina,120.59124839474228,22.36790090695472,21,5
Kaohsiung Veterans General Hospital Pingtung Branch,120.599009,22.674418,Tina,120.59124839474228,22.36790090695472,22,6
"Pingtung Hospital, Ministry of Health and Welfare",120.495546,22.673264,Tina,120.59124839474228,22.36790090695472,22,7
Paochien Hospital,120.484301,22.681631,Tina,120.59124839474228,22.36790090695472,23,8
Pingtung Christian Hospital,120.502626,22.682151,Tina,120.59124839474228,22.36790090695472,23,9
Heng Chun Christian Hospital,120.741104,22.002365,Tina,120.59124839474228,22.36790090695472,28,10
"Hengchun Tourism Hospital, Ministry of Health and Welfare",120.744829,21.999154,Tina,120.59124839474228,22.36790090695472,28,11
Nan Men Hospital,120.7453691,22.00095622,Tina,120.59124839474228,22.36790090695472,28,12
Daxin Hospital,120.599646,22.823792,Tina,120.59124839474228,22.36790090695472,32,13
"Hualien Hospital, Ministry of Health and Welfare",121.611421,23.979207,Tyler,121.60614413347736,23.983462360965344,1,1
Mennonite Christian Hospital,121.626753,23.988335,Tyler,121.60614413347736,23.983462360965344,2,2
Hualien Armed Forces General Hospital,121.6074,24.024429,Tyler,121.60614413347736,23.983462360965344,3,3
Taipei Veterans General Hospital Fenglin Branch,121.439215,23.727428,Tyler,121.60614413347736,23.983462360965344,21,4
"Hualien Hospital Fengbin Aboriginal Branch, Ministry of Health and Welfare",121.521184,23.601957,Tyler,121.60614413347736,23.983462360965344,27,5
"Buddhist Tzu Chi Medical Foundation Yuli Tzu Chi Hospital ",121.3185952,23.33492847,Tyler,121.60614413347736,23.983462360965344,49,6
Taipei Veterans General Hospital Yuli Branch,121.312031,23.339213,Tyler,121.60614413347736,23.983462360965344,49,7
Taipei Veterans General Hospital Fenglin Branch,121.439215,23.727428,Ula,121.51589894876332,23.828434494141632,9,1
"Hualien Hospital, Ministry of Health and Welfare",121.611421,23.979207,Ula,121.51589894876332,23.828434494141632,13,2
Mennonite Christian Hospital,121.626753,23.988335,Ula,121.51589894876332,23.828434494141632,14,3
Hualien Armed Forces General Hospital,121.6074,24.024429,Ula,121.51589894876332,23.828434494141632,15,4
"Hualien Hospital Fengbin Aboriginal Branch, Ministry of Health and Welfare",121.521184,23.601957,Ula,121.51589894876332,23.828434494141632,16,5
"Buddhist Tzu Chi Medical Foundation Yuli Tzu Chi Hospital ",121.3185952,23.33492847,Ula,121.51589894876332,23.828434494141632,37,6
Taipei Veterans General Hospital Yuli Branch,121.312031,23.339213,Ula,121.51589894876332,23.828434494141632,37,7
"Taitung Hospital Chenggong Branch, Ministry of Health and Welfare",121.377829,23.099296,Vicky,121.37833671908895,23.10398466279213,1,1
Buddhist Tzu Chi Medical Foundation Kuanshan Tzu Chi Hospital,121.166766,23.057281,Vicky,121.37833671908895,23.10398466279213,14,2
Taipei Veterans General Hospital Taitung Branch,121.132431,22.772346,Vicky,121.37833671908895,23.10398466279213,28,3
"Taitung Christian Medical Foundation, Taitung Christian Hospital",121.146016,22.763821,Vicky,121.37833671908895,23.10398466279213,28,4
Catholic Hualien Diocese Medical Foundation Taitung St. Mary' s Hospital,121.1463877,22.7577577,Vicky,121.37833671908895,23.10398466279213,29,5
"Taitung Hospital, Ministry of Health and Welfare",121.150649,22.757025,Vicky,121.37833671908895,23.10398466279213,29,6
Ludao Township Health Center,121.469647,22.673159,Vicky,121.37833671908895,23.10398466279213,31,7
Lanyu Township Health Center,121.554739,22.024836,Vicky,121.37833671908895,23.10398466279213,76,8
Taipei Veterans General Hospital Taitung Branch,121.132431,22.772346,Victor,121.12192454813473,22.771029247504284,1,1
Catholic Hualien Diocese Medical Foundation Taitung St. Mary' s Hospital,121.1463877,22.7577577,Victor,121.12192454813473,22.771029247504284,2,2
"Taitung Christian Medical Foundation, Taitung Christian Hospital",121.146016,22.763821,Victor,121.12192454813473,22.771029247504284,2,3
"Taitung Hospital, Ministry of Health and Welfare",121.150649,22.757025,Victor,121.12192454813473,22.771029247504284,3,4
Buddhist Tzu Chi Medical Foundation Kuanshan Tzu Chi Hospital,121.166766,23.057281,Victor,121.12192454813473,22.771029247504284,20,5
Ludao Township Health Center,121.469647,22.673159,Victor,121.12192454813473,22.771029247504284,24,6
"Taitung Hospital Chenggong Branch, Ministry of Health and Welfare",121.377829,23.099296,Victor,121.12192454813473,22.771029247504284,28,7
Lanyu Township Health Center,121.554739,22.024836,Victor,121.12192454813473,22.771029247504284,59,8
"Kinmen Hospital Lieyu Branch, Ministry of Health and Welfare",118.242498,24.4309,Wayne,118.31834674125737,24.42680156238287,5,1
"Kinmen Hospital, Ministry of Health and Welfare",118.4160218,24.4431883,Wayne,118.31834674125737,24.42680156238287,7,2
"Kinmen Hospital, Ministry of Health and Welfare",118.4160218,24.4431883,Wendy,118.44043371190241,24.505217820610838,5,1
"Kinmen Hospital Lieyu Branch, Ministry of Health and Welfare",118.242498,24.4309,Wendy,118.44043371190241,24.505217820610838,14,2
"Penghu Hospital, Ministry of Health and Welfare",119.565423,23.564553,Yale,119.56836299576611,23.566563172904832,1,1
Niaoyu Health Center,119.660087,23.660035,Yale,119.56836299576611,23.566563172904832,9,2
Jibei Health Center,119.610071,23.740119,Yale,119.56836299576611,23.566563172904832,13,3
Jiangjun Health Center,119.521637,23.361397,Yale,119.56836299576611,23.566563172904832,15,4
Wangan Township Health Center,119.497377,23.361897,Yale,119.56836299576611,23.566563172904832,15,5
Huayu Health Room,119.320671,23.403736,Yale,119.56836299576611,23.566563172904832,20,6
Qimei Township Health Center,119.430963,23.204103,Yale,119.56836299576611,23.566563172904832,27,7
Niaoyu Health Center,119.660087,23.660035,Yedda,119.67097280896805,23.585308095462636,6,1
"Penghu Hospital, Ministry of Health and Welfare",119.565423,23.564553,Yedda,119.67097280896805,23.585308095462636,7,2
Jibei Health Center,119.610071,23.740119,Yedda,119.67097280896805,23.585308095462636,12,3
Jiangjun Health Center,119.521637,23.361397,Yedda,119.67097280896805,23.585308095462636,19,4
Wangan Township Health Center,119.497377,23.361897,Yedda,119.67097280896805,23.585308095462636,19,5
Huayu Health Room,119.320671,23.403736,Yedda,119.67097280896805,23.585308095462636,26,6
Qimei Township Health Center,119.430963,23.204103,Yedda,119.67097280896805,23.585308095462636,31,7
Lienchiang County Hospital,119.948945,26.161011,York,119.93770180920849,26.153505661928357,1,1
Bei-Gan Health Center,119.9963,26.223229,York,119.93770180920849,26.153505661928357,7,2
Hsichu Health Center,119.937967,25.967984,York,119.93770180920849,26.153505661928357,13,3
Juguang Health Center,119.976883,25.958155,York,119.93770180920849,26.153505661928357,14,4
Dong-In Health Center,120.490658,26.367287,York,119.93770180920849,26.153505661928357,38,5
Lienchiang County Hospital,119.948945,26.161011,Zara,119.95132743091702,26.156182876420132,1,1
Bei-Gan Health Center,119.9963,26.223229,Zara,119.95132743091702,26.156182876420132,6,2
Hsichu Health Center,119.937967,25.967984,Zara,119.95132743091702,26.156182876420132,14,3
Juguang Health Center,119.976883,25.958155,Zara,119.95132743091702,26.156182876420132,14,4
Dong-In Health Center,120.490658,26.367287,Zara,119.95132743091702,26.156182876420132,37,5
